Parti;Forkortelse;ID;Farve;Valg;Stemmetal;Pct. af stemmer;Mandater;Mandatprocent;Regeringsparti;Statsministerparti;Partileder;Note
Uden for partierne;Uden;99;#a5a5a5;25-05-1909;18.423;5,70%;6;5,31%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;20-05-1910;98.718;28,43%;24;21,24%;FALSK;FALSK;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;20-05-1910;64.884;18,69%;20;17,70%;FALSK;FALSK;Carl Theodor Zahle;
Venstre;V;2;#115eb0;20-05-1910;117.286;33,78%;56;49,56%;SAND;SAND;J.C. Christensen;
Højre;H;3;#4c962f;20-05-1910;64.904;18,69%;13;11,50%;FALSK;FALSK;Emil Piper;
Uden for partierne;Uden;99;#a5a5a5;20-05-1910;1.448;0,42%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;20-05-1913;107.365;29,61%;32;28,32%;FALSK;FALSK;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;20-05-1913;65.754;18,14%;30;26,55%;SAND;SAND;Carl Theodor Zahle;
Venstre;V;2;#115eb0;20-05-1913;103.251;28,48%;43;38,05%;FALSK;FALSK;J.C. Christensen;
Højre;H;3;#4c962f;20-05-1913;81.049;22,36%;7;6,19%;FALSK;FALSK;Emil Piper;
Uden for partierne;Uden;99;#a5a5a5;20-05-1913;5.121;1,41%;1;0,88%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;07-05-1915;1.134;7,97%;32;28,32%;FALSK;FALSK;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;07-05-1915;677;4,76%;30;26,55%;SAND;SAND;Carl Theodor Zahle;Efter 1916 blev den rene radikale regering omdannet til en samlingsregering sammen med Venstre og Socialdemokratiet
Venstre;V;2;#115eb0;07-05-1915;8.081;56,78%;43;38,05%;FALSK;FALSK;J.C. Christensen;
Højre;H;3;#4c962f;07-05-1915;2.980;20,94%;8;7,08%;FALSK;FALSK;Emil Piper;
Nej-Stemmer;Nej;41;#000000;07-05-1915;1.360;9,56%;;;;;;
Socialdemokratiet;S;1;#cf1b42;22-04-1918;262.796;28,66%;39;28,06%;FALSK;FALSK;Thorvald Stauning;
Det Radikale Venstre;RV;4;#7d329b;22-04-1918;189.521;20,67%;31;22,30%;SAND;SAND;Carl Theodor Zahle;
Venstre;V;2;#115eb0;22-04-1918;269.646;29,41%;45;32,37%;FALSK;FALSK;J.C. Christensen;
